# !SESSION 2024-04-17 15:10:07.607
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.607 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.611 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.636 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.638 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.640 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 正在刷新工作空间 | 2024-04-17 15:10:07.642 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-34: 构建工作空间 | 2024-04-17 15:11:08.201 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-34: 构建工作空间 | 2024-04-17 15:11:08.203 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-34: 构建工作空间 | 2024-04-17 15:11:08.245 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-34: 构建工作空间 | 2024-04-17 15:11:08.247 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-34: 构建工作空间 | 2024-04-17 15:11:08.249 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: Serializing CDT Project settings..  | 2024-04-17 15:11:08.291 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: Serializing CDT Project settings..  | 2024-04-17 15:11:08.292 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-27: Serializing CDT Project settings..  | 2024-04-17 15:11:14.894 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-27: Serializing CDT Project settings..  | 2024-04-17 15:11:14.897 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 构建工作空间 | 2024-04-17 15:11:16.477 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 构建工作空间 | 2024-04-17 15:11:16.478 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 构建工作空间 | 2024-04-17 15:11:16.489 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 构建工作空间 | 2024-04-17 15:11:16.490 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-10: 构建工作空间 | 2024-04-17 15:11:16.491 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:11:32.038 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:11:32.040 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:13:58.819 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:13:58.819 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:13:58.864 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:13:58.865 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 15:14:33.522 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
